Zeitraum;1. Januar 2020 -> 31. Mai 2020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Time;5.01 BN - Kennedybrücke (Nordseite);5.01 BN - Kennedybrücke (Nordseite) Ri. Innenstadt Fahrräder;5.01 BN - Kennedybrücke (Nordseite) Ri. Beuel Fahrräder;5.02 BN - Kennedybrücke (Südseite) Barometer;5.02 BN - Kennedybrücke (Südseite) Barometer Ri. Innenstadt Fahrräder;5.02 BN - Kennedybrücke (Südseite) Barometer Ri. Beuel Fahrräder;5.03 BN - Nordbrücke (Südseite);5.03 BN - Nordbrücke (Südseite) Ri. Beuel Fahrräder;5.03 BN - Nordbrücke (Südseite) Ri. Auerberg Fahrräder;5.04 BN - Nordbrücke (Nordseite);5.04 BN - Nordbrücke (Nordseite) Ri. Beuel Fahrräder;5.04 BN - Nordbrücke (Nordseite) Ri. Auerberg Fahrräder;5.05 BN - Südbrücke (Südseite);5.05 BN - Südbrücke (Südseite) Ri. Gronau Fahrräder;5.05 BN - Südbrücke (Südseite) Ri. Ramersdorf Fahrräder;5.06 BN - Südbrücke (Nordseite);5.06 BN - Südbrücke (Nordseite) Ri. Gronau Fahrräder;5.06 BN - Südbrücke (Nordseite) Ri. Ri. Ramersdorf Fahrräder;5.07 BN - Estermannufer;5.07 BN - Estermannufer Ri. Bonn Fahrräder;5.07 BN - Estermannufer Ri. Köln Fahrräder;5.08 BN - Von-Sandt-Ufer;5.08 BN - Von-Sandt-Ufer Ri. Bad Godesberg Fahrräder;5.08 BN - Von-Sandt-Ufer Ri. Bonn  Fahrräder;5.09 BN - Rhenusallee;5.09 BN - Rhenusallee Ri. Beuel Fahrräder;5.09 BN - Rhenusallee Ri. Oberkassel Fahrräder;5.10 BN - Bröhltalweg;5.10 BN - Bröhltalweg Ri. Villich Fahrräder;5.10 BN - Bröhltalweg Ri. Beuel Fahrräder;5.11 BN - Brühler Straße;5.11 BN - Brühler Straße Ri. Süden Fahrräder;5.11 BN - Brühler Straße Ri. Norden Fahrräder;5.13 BN - Wilhelm-Spiritus-Ufer;5.13 BN - Wilhelm-Spiritus-Ufer Ri. Süden Fahrräder;5.13 BN - Wilhelm-Spiritus-Ufer Ri. Norden Fahrräder;5.14 BN - Mc Cloy Weg;5.14 BN - Mc Cloy Weg Ri. Remagen Fahrräder;5.14 BN - Mc Cloy Weg Ri. Bonn  Fahrräder;5.15 BN - Weg auf Damm Neil;5.15 BN - Weg auf Damm Neil Ri. Norden Fahrräder;5.15 BN - Weg auf Damm Neil Ri. Süden Fahrräder;Kennedybrücke;Kennedybrücke Radfahrer Ri. Innenstadt;Kennedybrücke Radfahrer Ri. Beuel;Nordbrücke;Nordbrücke Radfahrer Ri. Beuel;Nordbrücke Radfahrer Ri. Auerberg;Südbrücke;Südbrücke Radfahrer Ri. Oberkassel;Südbrücke Radfahrer Ri. Rheinaue
01.01.2020 00:00;0;0;0;5;1;4;1;0;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3;0;5;2;3;0;0;0;0;0;0;5;1;4;2;0;2;1;1;0
01.01.2020 00:15;6;4;2;4;2;2;1;1;0;0;0;0;5;0;5;2;0;2;0;0;0;3;2;1;0;0;0;2;2;0;0;0;0;1;0;1;0;0;0;0;0;0;10;6;4;1;1;0;7;2;5
01.01.2020 00:30;7;1;6;6;4;2;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;1;0;0;0;0;2;0;2;2;1;1;1;1;0;2;0;2;13;5;8;0;0;0;1;1;0
01.01.2020 00:45;16;10;6;9;4;5;0;0;0;1;0;1;5;2;3;3;3;0;0;0;0;2;1;1;5;0;5;4;3;1;0;0;0;4;4;0;0;0;0;3;1;2;25;14;11;1;0;1;8;2;6
01.01.2020 01:00;9;3;6;5;2;3;0;0;0;0;0;0;4;2;2;2;2;0;0;0;0;0;0;0;5;4;1;1;1;0;0;0;0;2;2;0;0;0;0;5;5;0;14;5;9;0;0;0;6;2;4
01.01.2020 01:15;12;11;1;13;8;5;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;2;1;1;1;1;0;0;0;0;0;0;0;0;0;0;25;19;6;1;0;1;0;0;0
01.01.2020 01:30;6;5;1;10;5;5;2;0;2;1;0;1;3;0;3;2;2;0;0;0;0;0;0;0;1;0;1;0;0;0;7;2;5;5;2;3;2;0;2;1;0;1;16;10;6;3;0;3;5;0;5
01.01.2020 01:45;8;7;1;14;2;12;0;0;0;2;2;0;1;0;1;3;0;3;0;0;0;2;0;2;1;0;1;2;1;1;5;1;4;1;0;1;0;0;0;0;0;0;22;9;13;2;2;0;4;3;1
01.01.2020 02:00;5;5;0;19;4;15;0;0;0;0;0;0;2;2;0;3;1;2;0;0;0;2;2;0;2;2;0;0;0;0;4;3;1;0;0;0;0;0;0;2;2;0;24;9;15;0;0;0;5;4;1
01.01.2020 02:15;15;3;12;23;5;18;1;0;1;2;0;2;5;2;3;5;2;3;0;0;0;1;0;1;1;1;0;4;2;2;1;1;0;5;4;1;0;0;0;1;1;0;38;8;30;3;0;3;10;5;5
01.01.2020 02:30;2;1;1;19;5;14;1;0;1;0;0;0;3;3;0;1;1;0;0;0;0;5;0;5;0;0;0;2;2;0;1;1;0;2;1;1;0;0;0;1;0;1;21;6;15;1;0;1;4;3;1
01.01.2020 02:45;14;6;8;11;2;9;4;0;4;3;1;2;1;1;0;0;0;0;0;0;0;3;1;2;1;0;1;0;0;0;2;0;2;0;0;0;0;0;0;0;0;0;25;8;17;7;1;6;1;1;0
01.01.2020 03:00;15;14;1;24;9;15;2;2;0;0;0;0;1;0;1;2;1;1;0;0;0;2;2;0;1;0;1;1;1;0;0;0;0;1;1;0;1;0;1;2;1;1;39;23;16;2;2;0;3;1;2
