Datetime,KennedyBrucke,NordBrücke,SudBrucke,Estermannufer,VonSandtUfer,Rhenusallee,BrühlerStraße,StraßburgerWeg,WilhelmSpiritusUfer,McCloyWeg,WegDammBonnBeuel,Bonn2017
1/1/2017 0:00,,0,1,0,0,0,0,0,2,0,0,3
1/1/2017 0:15,,0,9,0,0,0,2,0,0,0,3,14
1/1/2017 0:30,,0,4,0,0,0,1,0,4,0,1,10
1/1/2017 0:45,,0,0,0,1,0,0,3,2,0,0,6
1/1/2017 1:00,,0,0,0,0,0,2,1,2,0,2,7
1/1/2017 1:15,,3,2,0,0,0,3,1,0,2,4,15
1/1/2017 1:30,,2,2,0,1,2,0,0,2,1,1,11
1/1/2017 1:45,,0,5,0,2,0,2,6,1,0,0,16
1/1/2017 2:00,,2,6,0,1,3,3,2,0,0,2,19
1/1/2017 2:15,,1,4,0,0,1,4,6,1,0,2,19
1/1/2017 2:30,,2,2,0,0,1,0,1,3,0,0,9
1/1/2017 2:45,,1,2,0,0,0,1,1,1,0,0,6
1/1/2017 3:00,,0,1,0,0,0,0,4,0,1,0,6
1/1/2017 3:15,,0,1,0,0,1,0,7,0,0,0,9
1/1/2017 3:30,,2,1,0,0,1,0,6,0,0,2,12
1/1/2017 3:45,,0,0,0,0,0,0,2,1,0,2,5
1/1/2017 4:00,,0,0,0,1,1,0,1,1,0,1,5
1/1/2017 4:15,,1,1,0,1,2,4,0,0,0,1,10
1/1/2017 4:30,,0,2,0,0,0,1,4,1,0,0,8
1/1/2017 4:45,,0,0,0,0,0,1,2,2,2,0,7
1/1/2017 5:00,,0,1,0,0,0,0,1,1,0,0,3
1/1/2017 5:15,,0,3,0,0,0,4,0,1,0,0,8
1/1/2017 5:30,,0,0,0,0,1,0,0,0,1,0,2
1/1/2017 5:45,,0,0,0,1,0,0,1,0,0,0,2
1/1/2017 6:00,,2,0,0,0,0,0,1,1,0,0,4
1/1/2017 6:15,,1,0,0,0,0,0,0,0,0,0,1
1/1/2017 6:30,,1,0,0,0,0,0,0,0,0,0,1
1/1/2017 6:45,,2,0,0,0,0,0,0,0,0,0,2
1/1/2017 7:00,,0,2,0,0,0,2,1,1,0,0,6
1/1/2017 7:15,,2,1,0,0,1,1,0,2,0,0,7
1/1/2017 7:30,,0,2,0,0,0,0,3,0,0,0,5
1/1/2017 7:45,,0,1,0,2,1,2,0,0,1,1,8
