Datetime,KennedyBrucke,NordBrücke,SudBrucke,Estermannufer,VonSandtUfer,Rhenusallee,Bröhltalweg,BrühlerStraße,StraßburgerWeg,WilhelmSpiritusUfer,McCloyWeg,WegDammBonnBeuel,Bonn2018
2018-01-01 00:00:00,1,4,1,0,0,0,0.0,0,2,0,0,0,8.0
2018-01-01 00:15:00,3,0,0,0,0,0,0.0,0,0,2,0,0,5.0
2018-01-01 00:30:00,10,0,7,0,7,2,0.0,2,2,6,0,0,36.0
2018-01-01 00:45:00,16,0,6,0,1,5,1.0,3,0,7,0,1,40.0
2018-01-01 01:00:00,13,0,1,0,0,1,1.0,6,7,3,0,0,32.0
2018-01-01 01:15:00,24,0,0,0,0,0,1.0,4,5,4,0,1,39.0
2018-01-01 01:30:00,19,1,5,0,3,2,0.0,1,2,0,0,0,33.0
2018-01-01 01:45:00,10,0,1,0,1,0,0.0,2,1,4,0,3,22.0
2018-01-01 02:00:00,22,5,6,0,1,1,0.0,0,7,1,0,0,43.0
2018-01-01 02:15:00,28,7,0,0,0,1,1.0,1,5,1,1,2,47.0
2018-01-01 02:30:00,34,3,5,0,0,4,0.0,3,5,3,0,0,57.0
2018-01-01 02:45:00,27,2,3,1,6,2,1.0,0,3,1,0,2,48.0
2018-01-01 03:00:00,25,0,3,0,1,1,0.0,5,6,4,1,0,46.0
2018-01-01 03:15:00,15,3,2,0,1,0,0.0,1,6,0,1,0,29.0
2018-01-01 03:30:00,11,2,0,0,0,3,0.0,2,3,1,0,0,22.0
2018-01-01 03:45:00,15,1,0,2,0,0,0.0,1,2,1,2,0,24.0
2018-01-01 04:00:00,20,0,2,0,0,2,2.0,1,8,1,0,0,36.0
2018-01-01 04:15:00,18,1,5,0,1,0,1.0,2,2,1,1,0,32.0
2018-01-01 04:30:00,12,2,1,0,0,2,1.0,2,3,3,0,0,26.0
2018-01-01 04:45:00,10,1,1,0,0,0,0.0,1,3,0,0,2,18.0
2018-01-01 05:00:00,6,1,1,0,0,0,0.0,0,0,1,0,0,9.0
2018-01-01 05:15:00,7,0,0,0,0,0,0.0,1,1,0,0,0,9.0
2018-01-01 05:30:00,7,3,2,0,1,0,0.0,1,3,2,0,2,21.0
2018-01-01 05:45:00,1,0,1,0,0,0,0.0,1,0,2,0,0,5.0
2018-01-01 06:00:00,3,0,1,0,1,0,0.0,0,1,1,0,0,7.0
2018-01-01 06:15:00,4,1,3,0,0,2,0.0,0,0,1,0,0,11.0
2018-01-01 06:30:00,3,1,0,0,0,1,1.0,3,1,1,0,1,12.0
2018-01-01 06:45:00,5,0,1,0,0,0,0.0,0,1,0,2,0,9.0
2018-01-01 07:00:00,4,0,0,0,0,1,0.0,1,1,1,0,1,9.0
2018-01-01 07:15:00,4,1,0,0,1,0,1.0,0,0,0,0,0,7.0
2018-01-01 07:30:00,3,0,3,0,1,1,0.0,1,1,0,1,0,11.0
2018-01-01 07:45:00,6,0,1,0,0,0,0.0,1,0,1,0,0,9.0
2018-01-01 08:00:00,2,0,0,0,0,0,0.0,0,1,1,2,0,6.0
2018-01-01 08:15:00,4,0,1,0,1,3,0.0,3,1,2,1,0,16.0
2018-01-01 08:30:00,5,0,2,0,2,0,1.0,2,0,2,1,1,16.0
2018-01-01 08:45:00,3,3,2,0,1,1,0.0,5,0,1,0,0,16.0
2018-01-01 09:00:00,6,1,0,0,2,1,0.0,3,0,2,0,1,16.0
2018-01-01 09:15:00,0,3,3,1,1,3,0.0,0,0,2,1,0,14.0
2018-01-01 09:30:00,11,3,7,0,10,4,0.0,3,2,4,6,5,55.0
2018-01-01 09:45:00,10,3,10,0,8,10,2.0,4,2,4,2,4,59.0
2018-01-01 10:00:00,5,3,6,0,7,1,2.0,1,2,6,5,4,42.0
2018-01-01 10:15:00,8,8,3,5,8,4,0.0,5,3,7,7,6,64.0
2018-01-01 10:30:00,15,7,6,4,12,8,7.0,0,3,5,5,1,73.0
2018-01-01 10:45:00,12,3,9,6,8,4,3.0,6,4,13,5,5,78.0
2018-01-01 11:00:00,3,6,9,5,13,7,0.0,3,3,9,3,4,65.0
2018-01-01 11:15:00,9,12,11,6,8,10,4.0,3,2,16,11,7,99.0
