Datetime,Temperature (°C),Precipitations (mm),Wind Speed (m/s),KennedyBrücke,NordBrücke,SüdBrücke,Estermannufer,VonSandtUfer,Rhenusallee,BrühlerStraße,WilhelmSpiritusUfer,McCloyWeg,WegDammBonnBeuel,Bonn2018
2018-01-01 00:00:00,10.2,0.0,3.3,30.0,4.0,14.0,0.0,8.0,7.0,5.0,15.0,0.0,1.0,89.0
2018-01-01 01:00:00,6.9,0.0,5.8,66.0,1.0,7.0,0.0,4.0,3.0,13.0,11.0,0.0,4.0,126.0
2018-01-01 02:00:00,7.3,0.0,2.9,111.0,17.0,14.0,1.0,7.0,8.0,4.0,6.0,1.0,4.0,195.0
2018-01-01 03:00:00,8.4,0.0,4.2,66.0,6.0,5.0,2.0,2.0,4.0,9.0,6.0,4.0,0.0,121.0
2018-01-01 04:00:00,7.9,0.0,5.6,60.0,4.0,9.0,0.0,1.0,4.0,6.0,5.0,1.0,2.0,112.0
2018-01-01 05:00:00,7.9,0.0,5.0,21.0,4.0,4.0,0.0,1.0,0.0,3.0,5.0,0.0,2.0,44.0
2018-01-01 06:00:00,6.0,0.0,4.4,15.0,2.0,5.0,0.0,1.0,3.0,3.0,3.0,2.0,1.0,39.0
2018-01-01 07:00:00,6.3,0.0,3.5,17.0,1.0,4.0,0.0,2.0,2.0,3.0,2.0,1.0,1.0,36.0
2018-01-01 08:00:00,6.4,0.0,3.2,14.0,3.0,5.0,0.0,4.0,4.0,10.0,6.0,4.0,1.0,54.0
2018-01-01 09:00:00,6.5,0.0,3.9,27.0,10.0,20.0,1.0,21.0,18.0,10.0,12.0,9.0,10.0,144.0
2018-01-01 10:00:00,7.3,0.0,4.1,40.0,21.0,24.0,15.0,35.0,17.0,12.0,31.0,22.0,16.0,257.0
2018-01-01 11:00:00,7.8,0.0,5.3,63.0,34.0,43.0,26.0,64.0,59.0,15.0,65.0,46.0,36.0,485.0
2018-01-01 12:00:00,8.1,0.0,5.4,128.0,65.0,101.0,25.0,102.0,130.0,10.0,99.0,61.0,97.0,882.0
2018-01-01 13:00:00,7.6,0.0,4.9,168.0,60.0,127.0,38.0,131.0,136.0,23.0,130.0,56.0,133.0,1075.0
2018-01-01 14:00:00,7.4,0.0,4.5,146.0,83.0,108.0,46.0,94.0,107.0,18.0,104.0,74.0,104.0,973.0
2018-01-01 15:00:00,7.3,0.0,5.7,127.0,28.0,52.0,14.0,53.0,66.0,15.0,67.0,39.0,65.0,597.0
2018-01-01 16:00:00,6.0,0.0,6.7,120.0,35.0,33.0,14.0,34.0,45.0,12.0,51.0,21.0,40.0,447.0
2018-01-01 17:00:00,5.6,0.0,7.3,85.0,10.0,18.0,3.0,5.0,12.0,19.0,14.0,11.0,17.0,232.0
2018-01-01 18:00:00,5.1,0.0,7.1,74.0,7.0,9.0,1.0,4.0,3.0,14.0,10.0,5.0,9.0,154.0
2018-01-01 19:00:00,4.6,0.0,5.6,35.0,4.0,13.0,0.0,3.0,8.0,8.0,2.0,0.0,6.0,84.0
2018-01-01 20:00:00,4.3,0.0,2.6,49.0,0.0,4.0,0.0,8.0,4.0,1.0,6.0,2.0,4.0,88.0
2018-01-01 21:00:00,4.5,0.0,1.8,23.0,6.0,3.0,0.0,2.0,0.0,6.0,0.0,1.0,2.0,51.0
2018-01-01 22:00:00,4.5,0.0,4.3,21.0,2.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,34.0
2018-01-01 23:00:00,4.4,0.0,5.9,7.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0
2018-01-02 00:00:00,3.9,0.0,5.5,19.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,31.0
2018-01-02 01:00:00,4.0,0.0,4.2,8.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,17.0
2018-01-02 02:00:00,4.5,0.1,2.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
2018-01-02 03:00:00,4.6,0.1,2.3,6.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0
2018-01-02 04:00:00,4.7,0.1,2.2,16.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,26.0
2018-01-02 05:00:00,5.2,0.0,3.0,32.0,11.0,16.0,0.0,5.0,4.0,8.0,10.0,0.0,6.0,106.0
2018-01-02 06:00:00,4.8,0.0,4.5,170.0,39.0,86.0,2.0,10.0,24.0,40.0,35.0,1.0,17.0,482.0
2018-01-02 07:00:00,5.0,0.0,4.9,523.0,74.0,219.0,8.0,53.0,82.0,53.0,113.0,24.0,93.0,1440.0
2018-01-02 08:00:00,5.0,0.0,4.3,616.0,62.0,397.0,7.0,106.0,153.0,77.0,273.0,20.0,127.0,2169.0
2018-01-02 09:00:00,5.1,0.0,5.4,346.0,32.0,149.0,6.0,46.0,70.0,44.0,137.0,11.0,64.0,1084.0
2018-01-02 10:00:00,5.7,0.0,3.8,259.0,20.0,54.0,4.0,41.0,43.0,38.0,75.0,18.0,47.0,696.0
2018-01-02 11:00:00,6.1,0.0,3.3,257.0,25.0,59.0,11.0,49.0,39.0,34.0,67.0,23.0,50.0,715.0
