Datetime,Temperature (°C),Precipitations (mm),Wind Speed (m/s),Estermannufer,BrühlerStraße,VonSandtUfer,Rhenusallee,McCloyWeg,WegDammBonnBeuel,WilhelmSpiritusUfer,NordBrücke,SüdBrücke,KennedyBrücke,Bonn2019
2019-01-01 00:00:00,7.6,0.0,1.8,1.0,8.0,6.0,4.0,3.0,2.0,17.0,13.0,18.0,48.0,120.0
2019-01-01 01:00:00,7.5,0.1,2.0,5.0,5.0,3.0,7.0,0.0,5.0,5.0,5.0,21.0,117.0,173.0
2019-01-01 02:00:00,7.4,0.0,2.4,0.0,12.0,4.0,9.0,2.0,12.0,11.0,13.0,17.0,115.0,195.0
2019-01-01 03:00:00,7.5,0.0,3.3,0.0,12.0,2.0,8.0,0.0,8.0,4.0,2.0,7.0,95.0,138.0
2019-01-01 04:00:00,6.8,0.0,3.3,0.0,3.0,4.0,3.0,2.0,3.0,13.0,0.0,7.0,62.0,97.0
2019-01-01 05:00:00,6.3,0.0,4.3,1.0,3.0,1.0,1.0,1.0,0.0,3.0,2.0,4.0,26.0,43.0
2019-01-01 06:00:00,5.9,0.0,3.8,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,14.0,22.0
2019-01-01 07:00:00,5.9,0.0,2.7,0.0,5.0,3.0,0.0,0.0,0.0,1.0,0.0,4.0,10.0,23.0
2019-01-01 08:00:00,6.1,0.0,2.7,2.0,5.0,0.0,8.0,2.0,2.0,8.0,0.0,5.0,13.0,45.0
2019-01-01 09:00:00,6.4,0.2,3.2,3.0,5.0,10.0,4.0,8.0,4.0,9.0,7.0,8.0,38.0,99.0
2019-01-01 10:00:00,6.4,0.0,3.7,3.0,10.0,18.0,19.0,18.0,12.0,10.0,11.0,8.0,36.0,148.0
2019-01-01 11:00:00,6.5,0.1,4.8,4.0,8.0,33.0,43.0,20.0,28.0,39.0,10.0,27.0,58.0,278.0
2019-01-01 12:00:00,6.3,0.1,4.8,12.0,8.0,26.0,32.0,14.0,31.0,19.0,13.0,24.0,60.0,247.0
2019-01-01 13:00:00,6.5,0.1,4.4,6.0,10.0,18.0,23.0,19.0,14.0,16.0,17.0,21.0,78.0,232.0
