Datetime,Temperature (°C),Precipitations (mm),Wind Speed (m/s),Estermannufer,VonSandtUfer,Rhenusallee,BrühlerStraße,WilhelmSpiritusUfer,McCloyWeg,WegDammBonnBeuel,NordBrücke,SüdBrücke,KennedyBrücke,Bonn2021
2021-01-01 00:00:00,0.4,0.0,0.6,0.0,5.0,1.0,0.0,4.0,0.0,1.0,3.0,7.0,23.0,46.0
2021-01-01 01:00:00,0.3,0.0,0.4,0.0,1.0,2.0,4.0,5.0,0.0,4.0,3.0,7.0,47.0,79.0
2021-01-01 02:00:00,0.5,0.0,0.3,0.0,1.0,7.0,9.0,3.0,0.0,4.0,3.0,4.0,47.0,79.0
2021-01-01 03:00:00,1.1,0.0,0.7,2.0,5.0,1.0,3.0,4.0,0.0,1.0,10.0,3.0,86.0,118.0
2021-01-01 04:00:00,1.8,0.0,1.0,0.0,0.0,3.0,6.0,2.0,0.0,3.0,2.0,3.0,25.0,44.0
2021-01-01 05:00:00,1.8,0.0,1.2,0.0,4.0,0.0,6.0,2.0,0.0,0.0,0.0,3.0,19.0,35.0
2021-01-01 06:00:00,1.9,0.0,1.5,1.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,3.0,11.0,22.0
2021-01-01 07:00:00,2.0,0.0,1.2,0.0,10.0,3.0,1.0,4.0,0.0,2.0,3.0,4.0,13.0,40.0
2021-01-01 08:00:00,1.9,0.0,2.1,0.0,5.0,10.0,3.0,15.0,0.0,10.0,5.0,11.0,26.0,87.0
2021-01-01 09:00:00,1.9,0.0,1.8,6.0,14.0,18.0,5.0,18.0,0.0,18.0,6.0,17.0,29.0,133.0
2021-01-01 10:00:00,2.1,0.0,1.7,2.0,26.0,28.0,7.0,30.0,0.0,19.0,18.0,27.0,46.0,207.0
2021-01-01 11:00:00,2.5,0.0,1.3,11.0,54.0,58.0,10.0,55.0,0.0,54.0,26.0,40.0,77.0,397.0
2021-01-01 12:00:00,2.7,0.0,1.8,23.0,77.0,63.0,11.0,70.0,0.0,63.0,54.0,65.0,101.0,543.0
2021-01-01 13:00:00,2.7,0.0,1.4,41.0,74.0,111.0,14.0,121.0,0.0,79.0,71.0,106.0,152.0,798.0
2021-01-01 14:00:00,2.4,0.0,0.7,49.0,128.0,140.0,37.0,161.0,0.0,144.0,107.0,188.0,207.0,1209.0
2021-01-01 15:00:00,2.3,0.0,0.7,41.0,149.0,178.0,17.0,191.0,0.0,151.0,145.0,151.0,207.0,1290.0
2021-01-01 16:00:00,0.6,0.0,1.7,26.0,116.0,147.0,14.0,115.0,0.0,164.0,89.0,133.0,255.0,1122.0
2021-01-01 17:00:00,2.1,0.0,2.1,12.0,64.0,46.0,15.0,48.0,0.0,50.0,51.0,45.0,127.0,480.0
2021-01-01 18:00:00,1.9,0.0,2.4,4.0,8.0,17.0,11.0,20.0,0.0,23.0,10.0,21.0,77.0,200.0
2021-01-01 19:00:00,0.7,0.0,2.5,2.0,7.0,11.0,12.0,18.0,0.0,23.0,7.0,10.0,90.0,183.0
2021-01-01 20:00:00,0.5,0.0,3.1,0.0,6.0,6.0,7.0,4.0,0.0,6.0,4.0,13.0,68.0,116.0
2021-01-01 21:00:00,0.0,0.0,2.5,1.0,1.0,4.0,5.0,2.0,0.0,5.0,2.0,3.0,42.0,66.0
2021-01-01 22:00:00,-0.5,0.0,0.6,0.0,0.0,1.0,4.0,5.0,0.0,4.0,0.0,3.0,19.0,38.0
2021-01-01 23:00:00,0.3,0.0,0.6,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,14.0
2021-01-02 00:00:00,0.9,0.0,1.7,0.0,2.0,0.0,2.0,4.0,0.0,1.0,1.0,2.0,10.0,22.0
2021-01-02 01:00:00,0.9,0.0,3.2,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0,8.0,15.0
2021-01-02 02:00:00,0.8,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,2.0,5.0,12.0
2021-01-02 03:00:00,0.8,0.0,2.7,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,4.0,10.0
2021-01-02 04:00:00,0.9,0.0,1.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,10.0,13.0
2021-01-02 05:00:00,0.6,0.0,2.6,3.0,3.0,1.0,3.0,3.0,0.0,0.0,7.0,4.0,16.0,41.0
2021-01-02 06:00:00,0.8,0.0,0.8,1.0,0.0,7.0,7.0,3.0,0.0,3.0,5.0,7.0,20.0,55.0
2021-01-02 07:00:00,0.5,0.0,1.3,2.0,5.0,6.0,3.0,7.0,0.0,3.0,5.0,12.0,27.0,74.0
2021-01-02 08:00:00,0.6,0.0,0.8,2.0,7.0,8.0,14.0,17.0,0.0,13.0,7.0,20.0,43.0,134.0
2021-01-02 09:00:00,0.7,0.0,0.7,7.0,25.0,46.0,12.0,36.0,0.0,37.0,16.0,34.0,81.0,304.0
2021-01-02 10:00:00,1.4,0.0,0.4,28.0,52.0,78.0,19.0,49.0,0.0,66.0,41.0,79.0,130.0,566.0
2021-01-02 11:00:00,1.8,0.0,0.5,37.0,93.0,103.0,28.0,92.0,0.0,116.0,74.0,95.0,238.0,905.0
2021-01-02 12:00:00,2.4,0.0,0.6,47.0,89.0,123.0,29.0,136.0,0.0,148.0,102.0,132.0,253.0,1101.0
2021-01-02 13:00:00,2.8,0.0,0.8,59.0,108.0,179.0,30.0,156.0,0.0,184.0,137.0,199.0,260.0,1360.0
2021-01-02 14:00:00,2.9,0.0,1.3,84.0,151.0,218.0,41.0,187.0,0.0,184.0,144.0,198.0,310.0,1556.0
2021-01-02 15:00:00,2.6,0.0,2.0,71.0,150.0,207.0,34.0,228.0,0.0,202.0,132.0,240.0,304.0,1627.0
2021-01-02 16:00:00,2.1,0.0,1.5,39.0,104.0,138.0,30.0,178.0,0.0,155.0,87.0,148.0,280.0,1192.0
2021-01-02 17:00:00,1.9,0.0,0.7,16.0,43.0,78.0,21.0,84.0,0.0,68.0,37.0,67.0,158.0,587.0
2021-01-02 18:00:00,1.7,0.0,0.8,5.0,17.0,30.0,10.0,38.0,0.0,32.0,18.0,32.0,154.0,345.0
2021-01-02 19:00:00,1.8,0.0,0.4,2.0,9.0,15.0,14.0,19.0,0.0,27.0,20.0,21.0,115.0,251.0
2021-01-02 20:00:00,2.0,0.0,0.7,2.0,7.0,12.0,5.0,9.0,0.0,17.0,8.0,12.0,67.0,146.0
2021-01-02 21:00:00,1.7,0.0,1.1,0.0,2.0,3.0,18.0,11.0,0.0,4.0,10.0,12.0,61.0,122.0
2021-01-02 22:00:00,2.0,0.0,0.8,2.0,1.0,4.0,7.0,3.0,0.0,5.0,1.0,2.0,36.0,61.0
2021-01-02 23:00:00,1.9,0.0,0.8,0.0,0.0,6.0,4.0,4.0,0.0,7.0,3.0,2.0,34.0,61.0
2021-01-03 00:00:00,1.8,0.0,1.2,1.0,4.0,3.0,3.0,0.0,0.0,2.0,1.0,5.0,25.0,47.0
2021-01-03 01:00:00,1.9,0.0,1.5,0.0,6.0,2.0,3.0,5.0,0.0,3.0,1.0,5.0,16.0,43.0
2021-01-03 02:00:00,2.1,0.0,2.1,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,9.0,15.0
2021-01-03 03:00:00,2.1,0.5,2.8,0.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,3.0,4.0,15.0
2021-01-03 04:00:00,1.8,4.5,2.8,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,9.0,16.0
2021-01-03 05:00:00,1.6,2.3,1.8,0.0,0.0,0.0,1.0,4.0,0.0,0.0,5.0,7.0,5.0,22.0
2021-01-03 06:00:00,1.4,2.5,2.1,1.0,4.0,3.0,7.0,2.0,0.0,3.0,4.0,9.0,11.0,45.0
2021-01-03 07:00:00,1.4,3.5,1.4,2.0,5.0,5.0,2.0,7.0,0.0,7.0,7.0,12.0,14.0,64.0
2021-01-03 08:00:00,1.6,2.1,2.7,3.0,8.0,16.0,3.0,15.0,0.0,17.0,8.0,22.0,26.0,124.0
2021-01-03 09:00:00,1.9,0.9,2.8,5.0,40.0,35.0,12.0,45.0,0.0,30.0,16.0,48.0,48.0,289.0
2021-01-03 10:00:00,2.3,0.4,2.3,15.0,63.0,94.0,8.0,88.0,0.0,99.0,30.0,90.0,104.0,620.0
2021-01-03 11:00:00,2.7,0.0,2.7,33.0,82.0,113.0,26.0,124.0,0.0,119.0,86.0,119.0,163.0,896.0
2021-01-03 12:00:00,2.8,0.1,3.9,63.0,135.0,150.0,11.0,155.0,0.0,129.0,135.0,143.0,226.0,1179.0
2021-01-03 13:00:00,3.1,0.0,4.1,56.0,98.0,175.0,15.0,166.0,0.0,124.0,122.0,191.0,218.0,1195.0
2021-01-03 14:00:00,3.2,0.2,3.7,58.0,118.0,149.0,21.0,152.0,0.0,133.0,78.0,137.0,230.0,1115.0
2021-01-03 15:00:00,2.4,0.3,4.7,43.0,108.0,128.0,23.0,141.0,0.0,151.0,79.0,162.0,217.0,1106.0
2021-01-03 16:00:00,2.2,0.8,3.0,31.0,93.0,96.0,19.0,117.0,0.0,75.0,51.0,88.0,188.0,780.0
2021-01-03 17:00:00,2.2,0.5,2.2,2.0,24.0,34.0,19.0,34.0,0.0,34.0,19.0,52.0,133.0,362.0
2021-01-03 18:00:00,2.1,0.3,2.8,5.0,14.0,17.0,7.0,28.0,0.0,21.0,11.0,21.0,130.0,264.0
