Datetime,Temperature (°C),Precipitations (mm),Wind Speed (m/s),Estermannufer,VonSandtUfer,Rhenusallee,BrühlerStraße,WilhelmSpiritusUfer,McCloyWeg,WegDammBonnBeuel,NordBrücke,SüdBrücke,KennedyBrücke,Bonn2022
2022-01-01,273.9,0.2,74.6,585.0,1447.0,2061.0,330.0,1757.0,1043.0,1926.0,1226.0,2090.0,3261.0,15726.0
2022-01-02,268.0,0.1,99.5,407.0,1239.0,1638.0,297.0,1532.0,904.0,1533.0,1012.0,1799.0,3020.0,13381.0
2022-01-03,218.2,1.7,103.3,190.0,490.0,743.0,576.0,1008.0,342.0,775.0,545.0,1208.0,4674.0,10551.0
2022-01-04,154.0,6.3,64.4,139.0,370.0,475.0,415.0,752.0,213.0,525.0,403.0,829.0,3775.0,7896.0
2022-01-05,71.4,3.2,142.1,104.0,565.0,838.0,595.0,1098.0,124.0,774.0,571.0,1351.0,4848.0,10868.0
2022-01-06,63.2,1.7,69.1,0.0,694.0,1209.0,696.0,1473.0,0.0,1191.0,817.0,1714.0,5944.0,13738.0
2022-01-07,67.8,0.0,123.5,18.0,467.0,783.0,567.0,1011.0,0.0,798.0,530.0,1157.0,4951.0,10282.0
2022-01-08,51.8,1.0,133.6,56.0,463.0,740.0,327.0,796.0,260.0,844.0,445.0,885.0,3842.0,8658.0
2022-01-09,100.5,0.2,128.9,112.0,710.0,893.0,271.0,982.0,448.0,876.0,564.0,1026.0,2797.0,8679.0
2022-01-10,34.6,-14983.6,34.7,98.0,969.0,1476.0,935.0,1685.0,502.0,1548.0,1007.0,2133.0,7072.0,17425.0
2022-01-11,-11.5,-6993.0,33.2,130.0,849.0,1381.0,883.0,1650.0,469.0,1561.0,929.0,2098.0,7274.0,17224.0
2022-01-12,17.0,0.0,25.4,141.0,785.0,1119.0,839.0,1429.0,409.0,1160.0,821.0,1903.0,6470.0,15076.0
2022-01-13,47.7,0.0,24.5,257.0,1013.0,1565.0,881.0,1766.0,570.0,1743.0,1021.0,2202.0,7224.0,18242.0
2022-01-14,33.9,0.1,27.2,270.0,864.0,1176.0,808.0,1444.0,523.0,1270.0,833.0,1797.0,6807.0,15792.0
2022-01-15,25.0,0.0,81.4,221.0,540.0,841.0,439.0,895.0,447.0,910.0,583.0,947.0,4174.0,9997.0
2022-01-16,78.5,0.1,95.4,230.0,779.0,958.0,266.0,995.0,512.0,947.0,606.0,997.0,2895.0,9185.0
2022-01-17,127.8,3.3000000000000003,100.7,202.0,736.0,993.0,852.0,1365.0,377.0,1040.0,764.0,1824.0,6389.0,14542.0
2022-01-18,136.4,0.0,35.7,336.0,1005.0,1365.0,1026.0,1843.0,560.0,1467.0,931.0,2173.0,7120.0,17826.0
2022-01-19,83.1,0.0,79.2,247.0,838.0,1078.0,811.0,1604.0,477.0,1146.0,824.0,1878.0,6662.0,15565.0
2022-01-20,68.1,2.8,89.7,188.0,665.0,955.0,769.0,1317.0,381.0,1021.0,707.0,1614.0,6174.0,13791.0
2022-01-21,54.2,0.3,78.1,183.0,624.0,841.0,744.0,1155.0,377.0,855.0,631.0,1413.0,5856.0,12679.0
2022-01-22,99.6,2.6999999999999997,80.8,185.0,534.0,800.0,412.0,852.0,368.0,792.0,401.0,771.0,3932.0,9047.0
2022-01-23,101.6,1.7000000000000002,30.4,376.0,948.0,1164.0,309.0,1255.0,737.0,1218.0,736.0,1240.0,2921.0,10904.0
2022-01-24,73.6,0.4,69.0,328.0,902.0,1250.0,856.0,1727.0,549.0,1277.0,976.0,2079.0,6950.0,16894.0
2022-01-25,45.1,1.1,32.5,259.0,900.0,1182.0,915.0,1567.0,518.0,1312.0,918.0,1977.0,6904.0,16452.0
2022-01-26,34.3,0.4,81.9,278.0,800.0,1121.0,841.0,1548.0,449.0,1091.0,786.0,1828.0,6507.0,15249.0
2022-01-27,104.5,0.0,123.1,176.0,652.0,883.0,790.0,1270.0,355.0,921.0,648.0,1559.0,5928.0,13182.0
2022-01-28,108.4,0.0,81.6,358.0,1163.0,1695.0,896.0,1851.0,724.0,1725.0,957.0,2077.0,6926.0,18372.0
2022-01-29,182.1,5.7,140.6,281.0,742.0,989.0,422.0,1148.0,595.0,1070.0,583.0,1093.0,4161.0,11084.0
2022-01-30,109.5,0.0,105.0,497.0,1204.0,1625.0,319.0,1542.0,896.0,1565.0,950.0,1669.0,3759.0,14026.0
2022-01-31,95.2,2.5,166.7,93.0,356.0,483.0,524.0,795.0,171.0,437.0,405.0,1027.0,4169.0,8460.0
2022-02-01,122.4,3.6,139.3,125.0,638.0,825.0,653.0,1146.0,319.0,794.0,596.0,1442.0,5494.0,12032.0
2022-02-02,177.2,3.6999999999999997,92.9,326.0,1063.0,1461.0,807.0,1726.0,590.0,1471.0,873.0,2007.0,6622.0,16946.0
2022-02-03,167.3,4.0,90.5,268.0,942.0,1200.0,879.0,1699.0,557.0,1287.0,860.0,1993.0,6983.0,16668.0
2022-02-04,146.9,0.2,131.5,248.0,815.0,1027.0,766.0,1370.0,478.0,1137.0,716.0,1594.0,6323.0,14474.0
2022-02-05,109.0,0.8,147.1,607.0,1538.0,1964.0,556.0,1966.0,1096.0,1877.0,1120.0,2055.0,5501.0,18280.0
2022-02-06,141.1,6.7,196.79999999999998,38.0,209.0,256.0,164.0,222.0,197.0,271.0,185.0,306.0,1433.0,3281.0
2022-02-07,96.8,0.7999999999999999,125.9,257.0,870.0,1263.0,838.0,1520.0,521.0,1282.0,757.0,1884.0,6508.0,15700.0
2022-02-08,182.2,0.5,109.2,269.0,986.0,1329.0,913.0,1685.0,619.0,1354.0,883.0,2075.0,6749.0,16862.0
2022-02-09,199.2,0.0,69.8,448.0,1328.0,1803.0,946.0,2161.0,825.0,1753.0,1111.0,2540.0,7537.0,20452.0
2022-02-10,127.5,0.8,90.0,242.0,702.0,1030.0,819.0,1388.0,379.0,1118.0,683.0,1672.0,6168.0,14201.0
2022-02-11,71.2,7.8,92.0,209.0,838.0,1315.0,869.0,1540.0,486.0,1343.0,799.0,1761.0,6914.0,16074.0
2022-02-12,40.3,0.0,69.3,465.0,1078.0,2325.0,503.0,1602.0,771.0,2235.0,1002.0,1751.0,5444.0,17176.0
2022-02-13,118.2,0.0,86.2,671.0,1705.0,2452.0,378.0,2076.0,1159.0,2323.0,1410.0,2467.0,4505.0,19146.0
2022-02-14,218.2,0.0,145.7,342.0,1122.0,1535.0,990.0,1929.0,676.0,1557.0,1000.0,2236.0,7362.0,18749.0
2022-02-15,165.4,0.0,123.7,384.0,1085.0,1829.0,1000.0,2007.0,656.0,1746.0,1086.0,2417.0,7595.0,19805.0
2022-02-16,272.7,2.7,199.0,214.0,725.0,841.0,749.0,1322.0,447.0,935.0,621.0,1602.0,5750.0,13206.0
2022-02-17,229.3,6.6000000000000005,215.9,113.0,362.0,431.0,461.0,646.0,233.0,519.0,371.0,731.0,3647.0,7514.0
2022-02-18,214.4,4.0,203.8,134.0,536.0,480.0,619.0,864.0,326.0,553.0,480.0,1000.0,4456.0,9448.0
2022-02-19,142.3,0.0,208.3,368.0,981.0,1167.0,466.0,1429.0,766.0,1278.0,770.0,1475.0,4689.0,13389.0
2022-02-20,207.1,7.7,194.9,125.0,460.0,418.0,188.0,558.0,294.0,442.0,354.0,536.0,1949.0,5324.0
2022-02-21,130.8,3.9,205.9,123.0,518.0,533.0,587.0,1026.0,311.0,550.0,438.0,1249.0,4680.0,10015.0
2022-02-22,158.9,2.4000000000000004,122.5,229.0,785.0,906.0,830.0,1432.0,465.0,1079.0,712.0,1708.0,6340.0,14486.0
2022-02-23,178.1,0.30000000000000004,88.5,666.0,1895.0,2298.0,1014.0,2928.0,1162.0,2512.0,1520.0,3357.0,8773.0,26125.0
2022-02-24,164.9,0.0,128.6,206.0,678.0,751.0,718.0,1351.0,432.0,789.0,656.0,1515.0,5471.0,12567.0
2022-02-25,74.4,0.7,113.9,120.0,443.0,471.0,620.0,899.0,269.0,565.0,416.0,1029.0,4469.0,9301.0
2022-02-26,73.8,0.7999999999999999,48.4,443.0,1003.0,1577.0,490.0,1498.0,816.0,1745.0,932.0,1634.0,5053.0,15191.0
2022-02-27,86.8,0.0,102.8,667.0,1662.0,2225.0,399.0,2018.0,1109.0,2394.0,1360.0,2404.0,4368.0,18606.0
2022-02-28,111.6,0.0,89.8,591.0,1281.0,1853.0,708.0,2080.0,854.0,2031.0,1283.0,2395.0,6194.0,19270.0
2022-03-01,98.2,0.0,70.0,299.0,968.0,1165.0,857.0,1890.0,608.0,1330.0,978.0,2199.0,7311.0,17605.0
2022-03-02,119.1,0.0,53.2,456.0,1395.0,1676.0,1004.0,2418.0,865.0,2075.0,1371.0,2924.0,8322.0,22506.0
2022-03-03,110.6,0.0,59.9,553.0,1426.0,1849.0,1022.0,2471.0,937.0,2255.0,1392.0,2890.0,8924.0,23719.0
2022-03-04,94.5,0.0,47.7,526.0,1296.0,1737.0,966.0,2077.0,895.0,2112.0,1261.0,2532.0,8150.0,21552.0
2022-03-05,63.4,0.0,75.7,627.0,1434.0,1811.0,631.0,1921.0,1078.0,2172.0,1223.0,1992.0,6387.0,19276.0
2022-03-06,33.7,0.0,54.1,561.0,1281.0,1594.0,411.0,1778.0,1033.0,1762.0,1057.0,1974.0,4179.0,15630.0
2022-03-07,25.1,0.0,68.8,376.0,1079.0,1209.0,966.0,1972.0,662.0,1587.0,1022.0,2303.0,7474.0,18650.0
2022-03-08,92.3,0.0,108.3,438.0,1353.0,1488.0,1059.0,2203.0,786.0,1887.0,1352.0,2677.0,8492.0,21735.0
2022-03-09,150.8,0.0,70.9,610.0,1499.0,2054.0,999.0,2640.0,1023.0,2437.0,1570.0,3056.0,8719.0,24607.0
2022-03-10,187.0,0.0,82.0,739.0,1796.0,2291.0,1139.0,2839.0,1144.0,2696.0,1737.0,3505.0,9184.0,27070.0
2022-03-11,190.7,0.0,146.1,580.0,1347.0,1749.0,1092.0,2175.0,951.0,2111.0,1393.0,2716.0,8580.0,22694.0
2022-03-12,228.8,0.0,87.4,783.0,1668.0,1746.0,718.0,2235.0,1278.0,2115.0,1372.0,2022.0,6600.0,20537.0
2022-03-13,234.8,0.0,85.4,1108.0,2271.0,2416.0,620.0,2789.0,1885.0,2765.0,1749.0,3027.0,5546.0,24176.0
2022-03-14,219.6,0.8,70.5,444.0,1216.0,1308.0,998.0,1023.0,780.0,1603.0,1080.0,2404.0,7548.0,18404.0
2022-03-15,144.5,1.9,44.8,260.0,834.0,966.0,911.0,1295.0,449.0,1153.0,927.0,2072.0,6927.0,15794.0
2022-03-16,181.2,0.0,94.9,648.0,1754.0,1828.0,1183.0,2754.0,1160.0,2176.0,1456.0,3131.0,9063.0,25153.0
2022-03-17,191.7,0.0,71.4,296.0,840.0,911.0,915.0,1525.0,509.0,1197.0,846.0,1828.0,6714.0,15581.0
2022-03-18,170.5,0.0,52.6,731.0,1798.0,2282.0,1131.0,2700.0,1298.0,2638.0,1661.0,3097.0,9283.0,26619.0
2022-03-19,169.4,0.1,105.3,974.0,1949.0,2662.0,719.0,2645.0,1644.0,3015.0,1472.0,2723.0,7704.0,25507.0
2022-03-20,174.6,0.0,96.5,692.0,1624.0,1473.0,388.0,2096.0,1238.0,1596.0,1213.0,2074.0,4307.0,16701.0
2022-03-21,271.2,0.0,42.7,926.0,1916.0,2249.0,1361.0,3113.0,1242.0,2730.0,1943.0,3491.0,9363.0,28334.0
2022-03-22,267.5,0.0,51.1,922.0,2403.0,2707.0,1466.0,3569.0,1633.0,3147.0,2035.0,4104.0,10594.0,32580.0
2022-03-23,269.5,0.0,29.6,1005.0,2270.0,2894.0,1327.0,3794.0,1602.0,3225.0,2021.0,4164.0,10934.0,33236.0
2022-03-24,261.3,0.0,35.3,958.0,2148.0,2668.0,1339.0,3392.0,1556.0,3063.0,1896.0,3934.0,10700.0,31654.0
2022-03-25,248.0,0.0,34.4,894.0,2246.0,2574.0,1264.0,3438.0,1552.0,2985.0,1879.0,3669.0,10978.0,31479.0
2022-03-26,266.6,0.0,46.1,1536.0,3016.0,3445.0,868.0,3902.0,2435.0,3538.0,2100.0,3302.0,9093.0,33235.0
2022-03-27,279.3,0.0,37.2,1683.0,3580.0,4136.0,708.0,4159.0,2903.0,3922.0,2490.0,4436.0,8147.0,36164.0
2022-03-28,303.9,0.0,42.1,980.0,2485.0,2709.0,1393.0,3666.0,1684.0,3160.0,2078.0,4096.0,10562.0,32813.0
