ds,y,temp
2016-01-01 00:00:00,93.0,4.7
2016-01-01 01:00:00,143.0,4.3
2016-01-01 02:00:00,168.0,4.7
2016-01-01 03:00:00,139.0,4.6
2016-01-01 04:00:00,83.0,5.0
2016-01-01 05:00:00,66.0,4.6
2016-01-01 06:00:00,35.0,5.0
2016-01-01 07:00:00,35.0,5.2
2016-01-01 08:00:00,39.0,4.6
2016-01-01 09:00:00,73.0,5.0
2016-01-01 10:00:00,162.0,5.6
2016-01-01 11:00:00,202.0,6.6
2016-01-01 12:00:00,371.0,7.2
2016-01-01 13:00:00,541.0,6.8
2016-01-01 14:00:00,781.0,6.1
2016-01-01 15:00:00,839.0,5.6
2016-01-01 16:00:00,565.0,6.1
2016-01-01 17:00:00,280.0,5.9
2016-01-01 18:00:00,138.0,5.9
2016-01-01 19:00:00,123.0,6.0
2016-01-01 20:00:00,100.0,5.9
2016-01-01 21:00:00,63.0,5.7
2016-01-01 22:00:00,54.0,5.6
2016-01-01 23:00:00,35.0,5.5
2016-01-02 00:00:00,27.0,5.2
2016-01-02 01:00:00,15.0,4.9
2016-01-02 02:00:00,7.0,4.5
2016-01-02 03:00:00,7.0,4.6
2016-01-02 04:00:00,7.0,4.0
2016-01-02 05:00:00,14.0,3.9
2016-01-02 06:00:00,29.0,3.7
2016-01-02 07:00:00,49.0,3.5
2016-01-02 08:00:00,70.0,3.1
2016-01-02 09:00:00,78.0,3.2
2016-01-02 10:00:00,89.0,3.2
2016-01-02 11:00:00,113.0,3.4
2016-01-02 12:00:00,176.0,3.7
2016-01-02 13:00:00,231.0,3.8
2016-01-02 14:00:00,296.0,4.0
2016-01-02 15:00:00,338.0,4.0
2016-01-02 16:00:00,345.0,3.7
2016-01-02 17:00:00,253.0,3.7
2016-01-02 18:00:00,210.0,3.3
2016-01-02 19:00:00,166.0,3.2
2016-01-02 20:00:00,145.0,3.4
2016-01-02 21:00:00,80.0,3.8
2016-01-02 22:00:00,85.0,4.0
2016-01-02 23:00:00,78.0,4.3
2016-01-03 00:00:00,48.0,4.6
2016-01-03 01:00:00,46.0,4.7
2016-01-03 02:00:00,22.0,4.0
2016-01-03 03:00:00,21.0,5.1
2016-01-03 04:00:00,13.0,5.3
2016-01-03 05:00:00,21.0,5.4
2016-01-03 06:00:00,17.0,5.6
2016-01-03 07:00:00,22.0,5.9
2016-01-03 08:00:00,64.0,6.4
2016-01-03 09:00:00,165.0,6.2
2016-01-03 10:00:00,274.0,6.8
2016-01-03 11:00:00,445.0,7.5
2016-01-03 12:00:00,551.0,6.9
2016-01-03 13:00:00,606.0,7.7
2016-01-03 14:00:00,603.0,6.9
2016-01-03 15:00:00,582.0,6.4
2016-01-03 16:00:00,514.0,5.9
2016-01-03 17:00:00,281.0,5.4
2016-01-03 18:00:00,250.0,5.6
2016-01-03 19:00:00,155.0,5.5
2016-01-03 20:00:00,112.0,5.6
2016-01-03 21:00:00,97.0,5.6
2016-01-03 22:00:00,72.0,5.3
2016-01-03 23:00:00,28.0,4.1
2016-01-04 00:00:00,24.0,3.4
2016-01-04 01:00:00,19.0,3.1
2016-01-04 02:00:00,4.0,3.6
2016-01-04 03:00:00,4.0,3.1
2016-01-04 04:00:00,24.0,2.7
2016-01-04 05:00:00,85.0,2.3
2016-01-04 06:00:00,233.0,2.9
2016-01-04 07:00:00,606.0,3.3
2016-01-04 08:00:00,986.0,3.7
2016-01-04 09:00:00,503.0,4.0
2016-01-04 10:00:00,367.0,4.7
2016-01-04 11:00:00,422.0,5.4
2016-01-04 12:00:00,469.0,6.4
2016-01-04 13:00:00,531.0,6.7
2016-01-04 14:00:00,560.0,7.0
2016-01-04 15:00:00,530.0,6.7
2016-01-04 16:00:00,810.0,6.1
2016-01-04 17:00:00,895.0,6.1
2016-01-04 18:00:00,710.0,6.4
2016-01-04 19:00:00,394.0,6.3
2016-01-04 20:00:00,236.0,6.6
2016-01-04 21:00:00,156.0,6.3
2016-01-04 22:00:00,103.0,6.6
2016-01-04 23:00:00,56.0,6.5
2016-01-05 00:00:00,35.0,6.6
2016-01-05 01:00:00,9.0,6.4
2016-01-05 02:00:00,10.0,5.5
2016-01-05 03:00:00,12.0,5.1
2016-01-05 04:00:00,24.0,6.4
2016-01-05 05:00:00,101.0,6.0
2016-01-05 06:00:00,373.0,5.8
2016-01-05 07:00:00,896.0,5.6
2016-01-05 08:00:00,1204.0,5.8
2016-01-05 09:00:00,710.0,6.0
2016-01-05 10:00:00,497.0,6.6
2016-01-05 11:00:00,543.0,6.8
2016-01-05 12:00:00,587.0,7.3
2016-01-05 13:00:00,672.0,7.3
2016-01-05 14:00:00,693.0,7.4
2016-01-05 15:00:00,854.0,7.0
2016-01-05 16:00:00,1094.0,6.3
2016-01-05 17:00:00,1214.0,6.0
2016-01-05 18:00:00,933.0,6.6
2016-01-05 19:00:00,517.0,6.3
2016-01-05 20:00:00,332.0,6.4
2016-01-05 21:00:00,203.0,5.6
2016-01-05 22:00:00,138.0,5.2
2016-01-05 23:00:00,70.0,5.0
2016-01-06 00:00:00,36.0,5.1
2016-01-06 01:00:00,15.0,5.1
2016-01-06 02:00:00,6.0,5.4
2016-01-06 03:00:00,8.0,5.5
2016-01-06 04:00:00,30.0,5.1
2016-01-06 05:00:00,100.0,5.8
2016-01-06 06:00:00,393.0,5.8
2016-01-06 07:00:00,942.0,5.7
2016-01-06 08:00:00,1320.0,5.9
2016-01-06 09:00:00,758.0,6.1
2016-01-06 10:00:00,523.0,6.4
2016-01-06 11:00:00,597.0,7.2
2016-01-06 12:00:00,651.0,7.6
2016-01-06 13:00:00,658.0,7.1
2016-01-06 14:00:00,771.0,7.1
2016-01-06 15:00:00,793.0,6.6
2016-01-06 16:00:00,1155.0,6.4
2016-01-06 17:00:00,1296.0,6.4
2016-01-06 18:00:00,1016.0,6.3
2016-01-06 19:00:00,564.0,6.2
2016-01-06 20:00:00,289.0,6.1
2016-01-06 21:00:00,201.0,5.7
2016-01-06 22:00:00,172.0,5.1
2016-01-06 23:00:00,94.0,5.6
2016-01-07 00:00:00,45.0,4.8
2016-01-07 01:00:00,13.0,5.5
2016-01-07 02:00:00,6.0,4.9
2016-01-07 03:00:00,5.0,5.4
2016-01-07 04:00:00,31.0,5.7
2016-01-07 05:00:00,115.0,5.5
2016-01-07 06:00:00,383.0,5.3
2016-01-07 07:00:00,1131.0,5.0
2016-01-07 08:00:00,1564.0,5.2
2016-01-07 09:00:00,816.0,5.7
2016-01-07 10:00:00,490.0,5.8
2016-01-07 11:00:00,463.0,6.2
2016-01-07 12:00:00,494.0,5.8
2016-01-07 13:00:00,515.0,5.4
2016-01-07 14:00:00,370.0,5.1
2016-01-07 15:00:00,507.0,4.6
2016-01-07 16:00:00,766.0,4.3
2016-01-07 17:00:00,1025.0,5.1
2016-01-07 18:00:00,861.0,5.4
2016-01-07 19:00:00,490.0,6.9
2016-01-07 20:00:00,330.0,7.0
2016-01-07 21:00:00,169.0,6.3
2016-01-07 22:00:00,155.0,6.0
2016-01-07 23:00:00,103.0,5.4
2016-01-08 00:00:00,36.0,5.5
2016-01-08 01:00:00,19.0,5.6
2016-01-08 02:00:00,7.0,5.4
2016-01-08 03:00:00,7.0,5.2
2016-01-08 04:00:00,33.0,4.5
2016-01-08 05:00:00,107.0,4.4
2016-01-08 06:00:00,378.0,4.0
2016-01-08 07:00:00,1145.0,2.9
2016-01-08 08:00:00,1478.0,2.5
2016-01-08 09:00:00,814.0,3.9
2016-01-08 10:00:00,581.0,5.1
2016-01-08 11:00:00,686.0,5.9
2016-01-08 12:00:00,894.0,7.2
2016-01-08 13:00:00,1252.0,7.2
2016-01-08 14:00:00,1296.0,7.2
2016-01-08 15:00:00,1475.0,6.5
2016-01-08 16:00:00,1545.0,4.7
2016-01-08 17:00:00,1119.0,3.2
2016-01-08 18:00:00,833.0,4.0
2016-01-08 19:00:00,557.0,3.2
2016-01-08 20:00:00,326.0,2.6
2016-01-08 21:00:00,194.0,1.6
2016-01-08 22:00:00,166.0,0.9
2016-01-08 23:00:00,142.0,-0.1
2016-01-09 00:00:00,114.0,0.8
2016-01-09 01:00:00,64.0,2.3
2016-01-09 02:00:00,45.0,1.3
2016-01-09 03:00:00,35.0,1.1
2016-01-09 04:00:00,19.0,1.3
2016-01-09 05:00:00,30.0,1.2
2016-01-09 06:00:00,46.0,1.5
2016-01-09 07:00:00,73.0,1.5
2016-01-09 08:00:00,172.0,0.7
2016-01-09 09:00:00,360.0,2.2
2016-01-09 10:00:00,452.0,4.1
2016-01-09 11:00:00,731.0,5.3
2016-01-09 12:00:00,900.0,4.7
2016-01-09 13:00:00,1127.0,6.4
2016-01-09 14:00:00,1252.0,6.2
2016-01-09 15:00:00,1221.0,5.6
2016-01-09 16:00:00,881.0,5.5
2016-01-09 17:00:00,517.0,5.5
2016-01-09 18:00:00,380.0,5.3
2016-01-09 19:00:00,281.0,6.0
2016-01-09 20:00:00,220.0,5.1
2016-01-09 21:00:00,161.0,4.9
2016-01-09 22:00:00,94.0,5.6
2016-01-09 23:00:00,114.0,4.3
2016-01-10 00:00:00,98.0,5.0
2016-01-10 01:00:00,75.0,5.5
2016-01-10 02:00:00,66.0,7.1
2016-01-10 03:00:00,32.0,7.5
2016-01-10 04:00:00,24.0,8.4
2016-01-10 05:00:00,23.0,8.2
2016-01-10 06:00:00,26.0,8.1
2016-01-10 07:00:00,41.0,7.9
2016-01-10 08:00:00,49.0,5.3
2016-01-10 09:00:00,181.0,6.0
2016-01-10 10:00:00,423.0,7.1
2016-01-10 11:00:00,706.0,7.8
2016-01-10 12:00:00,937.0,7.8
2016-01-10 13:00:00,1113.0,8.0
2016-01-10 14:00:00,1229.0,8.0
2016-01-10 15:00:00,1168.0,7.6
2016-01-10 16:00:00,776.0,7.0
2016-01-10 17:00:00,381.0,6.6
2016-01-10 18:00:00,231.0,6.5
2016-01-10 19:00:00,210.0,6.6
2016-01-10 20:00:00,118.0,6.3
2016-01-10 21:00:00,105.0,6.0
2016-01-10 22:00:00,69.0,6.0
2016-01-10 23:00:00,53.0,5.9
2016-01-11 00:00:00,22.0,5.6
2016-01-11 01:00:00,13.0,4.3
2016-01-11 02:00:00,6.0,4.8
2016-01-11 03:00:00,11.0,4.7
2016-01-11 04:00:00,24.0,4.8
2016-01-11 05:00:00,110.0,2.6
2016-01-11 06:00:00,385.0,2.6
2016-01-11 07:00:00,1200.0,3.7
2016-01-11 08:00:00,1701.0,4.9
2016-01-11 09:00:00,793.0,4.6
2016-01-11 10:00:00,451.0,6.0
2016-01-11 11:00:00,280.0,5.7
2016-01-11 12:00:00,356.0,5.8
2016-01-11 13:00:00,538.0,6.4
2016-01-11 14:00:00,557.0,6.1
2016-01-11 15:00:00,723.0,6.0
2016-01-11 16:00:00,1063.0,6.2
2016-01-11 17:00:00,1158.0,6.1
2016-01-11 18:00:00,930.0,5.8
2016-01-11 19:00:00,573.0,5.9
2016-01-11 20:00:00,286.0,5.8
2016-01-11 21:00:00,182.0,5.5
2016-01-11 22:00:00,146.0,5.3
2016-01-11 23:00:00,61.0,5.7
2016-01-12 00:00:00,34.0,5.3
2016-01-12 01:00:00,14.0,5.9
2016-01-12 02:00:00,4.0,4.9
2016-01-12 03:00:00,7.0,5.2
2016-01-12 04:00:00,23.0,4.9
2016-01-12 05:00:00,94.0,4.7
2016-01-12 06:00:00,383.0,4.8
2016-01-12 07:00:00,1196.0,4.6
2016-01-12 08:00:00,1753.0,4.5
2016-01-12 09:00:00,869.0,4.7
2016-01-12 10:00:00,516.0,5.5
2016-01-12 11:00:00,535.0,7.3
2016-01-12 12:00:00,681.0,7.5
2016-01-12 13:00:00,750.0,7.9
