Datetime,Temperature (°C),Precipitations (mm),Wind Speed (m/s),KennedyBrücke,NordBrücke,SüdBrücke,Estermannufer,VonSandtUfer,Rhenusallee,BrühlerStraße,WilhelmSpiritusUfer,McCloyWeg,WegDammBonnBeuel,Bonn
2016-01-31,3094.2,66.3,1178.65,135639.0,14500.0,42262.0,5820.0,18768.0,24327.0,15993.0,18254.0,6433.0,11869.0,340599.0
2016-02-29,3116.6,55.0,2304.3,123487.0,13499.0,41753.0,4172.0,18966.0,23721.0,14704.0,31603.0,10482.0,23015.0,348947.0
2016-03-31,3696.9,31.4,2177.0,141401.0,17428.0,48168.0,9020.0,25132.0,31036.0,16553.0,42174.0,15730.0,29352.0,423557.0
2016-04-30,6579.3,50.800000000000004,2094.9,211634.0,29206.0,76818.0,18393.0,47534.0,54695.0,25046.0,72460.0,31330.0,54468.0,691519.0
2016-05-31,10854.1,36.5,2140.4,232711.0,38461.0,93533.0,31823.0,71389.0,80139.0,26992.0,107133.0,52391.0,79024.0,882133.0
2016-06-30,12380.6,83.5,1653.1,223142.0,31439.0,83799.0,11871.0,53077.0,62739.0,27757.0,85098.0,25051.0,60993.0,735412.0
2016-07-31,14242.9,95.3,1644.1,247797.0,43228.0,101416.0,36468.0,81351.0,85780.0,29613.0,118095.0,61876.0,81692.0,959327.0
2016-08-31,13947.1,45.949999999999996,1702.3,243278.0,45656.0,104917.0,40001.0,92924.0,92188.0,29314.0,121128.0,70025.0,87663.0,1001712.0
2016-09-30,12966.6,31.3,1545.2,269091.0,43369.0,107964.0,32755.0,83694.0,86226.0,31948.0,114572.0,58433.0,84065.0,996665.0
2016-10-31,6963.1,74.4,1553.6,180288.0,23146.0,61261.0,13716.0,37835.0,42418.0,21358.0,61094.0,24567.0,41612.0,566650.0
2016-11-30,4077.9,52.7,2053.2,165473.0,17800.0,49945.0,7687.0,22912.0,27757.0,19176.0,43648.0,13142.0,28292.0,451260.0
2016-12-31,2689.9,53.0,2051.2,154398.0,14948.0,41213.0,6146.0,18353.0,23479.0,16633.0,36118.0,10480.0,23934.0,394085.0
2017-01-31,-154.5,35.7,2062.7,135542.0,11918.0,36339.0,4225.0,14185.0,18692.0,13990.0,30769.0,7674.0,18008.0,332144.0
2017-02-28,3669.9,35.1,2244.6,130781.0,14926.0,43146.0,6486.0,19916.0,25280.0,14895.0,34190.0,11481.0,24753.0,371188.0
2017-03-31,6929.5,53.800000000000004,2305.2,202983.0,30317.0,79039.0,17575.0,46249.0,56679.0,23437.0,72562.0,28520.0,56284.0,680087.0
2017-04-30,6104.4,25.400000000000002,1789.9,201958.0,28959.0,72181.0,20038.0,48622.0,55695.0,23016.0,70742.0,33428.0,53761.0,666014.0
2017-05-31,11493.6,29.2,1799.8,258693.0,41552.0,103031.0,31116.0,72142.0,81122.0,29670.0,108422.0,51167.0,82494.0,930076.0
2017-06-30,13753.5,90.89999999999999,1892.8,259029.0,45223.0,107738.0,35957.0,82889.0,84859.0,31631.0,116192.0,60123.0,84145.0,978542.0
2017-07-31,14172.8,109.0,1782.3,246584.0,42135.0,105658.0,34586.0,77953.0,82669.0,29711.0,114007.0,59227.0,79828.0,941886.0
2017-08-31,13457.4,88.8,1567.7,223262.0,39556.0,98137.0,34693.0,77374.0,80196.0,27433.0,105898.0,60247.0,76622.0,888134.0
2017-09-30,9935.9,57.8,1743.5,212776.0,29934.0,80779.0,20424.0,52534.0,56358.0,26836.0,78426.0,36115.0,56736.0,716235.0
2017-10-31,9420.3,74.2,2085.3,201019.0,27081.0,72205.0,16800.0,43163.0,51725.0,26335.0,70146.0,30384.0,51711.0,653714.0
2017-11-30,4567.8,58.4,1873.0,175723.0,19294.0,60421.0,9483.0,25862.0,32953.0,22038.0,52257.0,14720.0,32452.0,503869.0
2017-12-31,3213.1,45.0,2339.4,124805.0,12273.0,33500.0,3641.0,14045.0,18739.0,15630.0,28780.0,6967.0,18985.0,317834.0
2018-01-31,4228.1,49.3,2621.2,154831.0,21475.0,54674.0,7996.0,26395.0,36688.0,18982.0,43590.0,15101.0,35301.0,464499.0
