Datetime,Temperature (°C),Precipitations (mm),Wind Speed (m/s),KennedyBrücke,NordBrücke,SüdBrücke,Estermannufer,VonSandtUfer,Rhenusallee,BrühlerStraße,WilhelmSpiritusUfer,McCloyWeg,WegDammBonnBeuel,Bonn
2016-01-03,362.7,0.7,319.9,5262.0,1004.0,1733.0,385.0,1259.0,1630.0,629.0,0.0,0.0,0.0,13045.0
2016-01-10,904.2,8.4,622.4,32505.0,3915.0,10675.0,1612.0,5315.0,7035.0,3899.0,0.0,0.0,0.0,76196.0
2016-01-17,488.5,35.8,591.3454545454546,29425.0,2782.0,8925.0,1000.0,3388.0,4309.0,3581.0,719.0,1359.0,610.0,66791.0
2016-01-24,-28.30000000000001,8.0,-1079.7954545454545,31570.0,2857.0,8886.0,1002.0,3501.0,4589.0,3502.0,7313.0,1935.0,4622.0,80268.0
2016-01-31,1367.1,13.4,724.8,36877.0,3942.0,12043.0,1821.0,5305.0,6764.0,4382.0,10222.0,3139.0,6637.0,104299.0
2016-02-07,1327.0,13.0,660.9,28872.0,3169.0,9907.0,1173.0,4479.0,5273.0,3516.0,8218.0,2903.0,4890.0,82653.0
2016-02-14,712.4,4.6,646.3,25248.0,2645.0,8228.0,373.0,3437.0,4381.0,3029.0,6828.0,937.0,4221.0,68249.0
2016-02-21,551.1,20.8,503.7,30407.0,3286.0,10085.0,984.0,4578.0,5673.0,3557.0,8008.0,2660.0,5720.0,85789.0
2016-02-28,484.0,10.1,415.3,32813.0,3753.0,11314.0,1411.0,5519.0,7139.0,3889.0,6823.0,3444.0,6917.0,94351.0
2016-03-06,450.8,13.1,524.8,29204.0,2739.0,9568.0,1035.0,4133.0,4926.0,3397.0,7614.0,2294.0,4961.0,80481.0
2016-03-13,529.6,1.0,423.8,36739.0,4688.0,12700.0,2408.0,6366.0,8463.0,4468.0,10374.0,4058.0,8422.0,110982.0
2016-03-20,707.7,7.800000000000001,400.9,38637.0,4862.0,13791.0,2365.0,6590.0,8720.0,4532.0,12011.0,3955.0,8245.0,116839.0
2016-03-27,1288.2,5.0,553.2,28950.0,4102.0,9664.0,2602.0,6354.0,7363.0,3277.0,9465.0,4304.0,6453.0,91584.0
2016-04-03,1543.5,22.4,573.2,31471.0,5132.0,11508.0,3653.0,8898.0,10662.0,3362.0,12163.0,6408.0,9862.0,111832.0
2016-04-10,1705.4,10.600000000000001,518.5,49371.0,7050.0,18669.0,4702.0,12065.0,13480.0,5723.0,16613.0,8175.0,13224.0,165088.0
2016-04-17,1807.1,25.0,473.2,52121.0,7402.0,19512.0,4297.0,11570.0,13261.0,6143.0,18098.0,7316.0,13689.0,171013.0
2016-04-24,1468.1,1.4,417.6,54097.0,7527.0,19576.0,4717.0,11976.0,14051.0,6391.0,19168.0,7879.0,14285.0,178289.0
2016-05-01,1038.1,2.4,547.0,42721.0,4752.0,13983.0,2607.0,7358.0,8128.0,5414.0,12773.0,4520.0,7945.0,124877.0
2016-05-08,2383.4,13.7,508.9,64439.0,12635.0,29045.0,11341.0,24383.0,29862.0,6834.0,35590.0,18670.0,28949.0,278433.0
2016-05-15,2576.8,10.5,560.6,57678.0,8293.0,21143.0,5812.0,13417.0,14805.0,7032.0,21942.0,9104.0,15310.0,192968.0
2016-05-22,2383.6,0.2,488.3,47243.0,7552.0,19586.0,6250.0,14476.0,14955.0,5751.0,22051.0,10349.0,14802.0,177468.0
2016-05-29,2486.0,5.6000000000000005,342.3,44571.0,7333.0,16813.0,6829.0,14829.0,15460.0,5165.0,20859.0,11803.0,14865.0,171539.0
2016-06-05,2887.0,9.4,372.0,41847.0,5696.0,14773.0,1811.0,9006.0,10922.0,5150.0,14778.0,3328.0,10827.0,131232.0
2016-06-12,3003.1,3.4000000000000004,325.7,64340.0,9280.0,24371.0,5089.0,16145.0,19392.0,7520.0,24731.0,9365.0,18810.0,218114.0
2016-06-19,2437.4,53.2,409.9,42440.0,5492.0,14783.0,1398.0,8739.0,10231.0,5522.0,14974.0,1644.0,9822.0,129159.0
2016-06-26,3178.8,6.9,451.9,52391.0,7828.0,20555.0,2485.0,13533.0,15630.0,6568.0,21270.0,6569.0,15391.0,178611.0
2016-07-03,2861.8,22.599999999999998,475.2,55417.0,7702.0,21828.0,4367.0,14583.0,16533.0,7187.0,22509.0,10039.0,15846.0,193939.0
2016-07-10,3198.6,3.7,404.4,64004.0,10587.0,26167.0,8880.0,20100.0,21901.0,7795.0,28895.0,15447.0,21609.0,244541.0
2016-07-17,2915.8,47.9,383.6,57564.0,8227.0,22610.0,7358.0,17089.0,17893.0,6708.0,25625.0,12695.0,17061.0,209724.0
2016-07-24,3755.4,7.7,330.6,58543.0,11883.0,26144.0,9559.0,20714.0,21917.0,6773.0,31079.0,15326.0,20802.0,238901.0
2016-07-31,3189.7,30.5,302.0,49044.0,9646.0,19164.0,8241.0,17112.0,17089.0,5962.0,24104.0,13668.0,15616.0,194239.0
2016-08-07,2981.1,24.15,403.6,42600.0,8146.0,17386.0,8655.0,17964.0,17995.0,5306.0,22662.0,14334.0,16638.0,184500.0
2016-08-14,2729.0,2.6,393.9,46611.0,8611.0,19377.0,8213.0,18452.0,18145.0,5671.0,23562.0,14687.0,17066.0,194435.0
2016-08-21,3066.6,19.0,355.70000000000005,59266.0,10782.0,27038.0,10002.0,23732.0,23531.0,7089.0,31244.0,17392.0,22327.0,250352.0
2016-08-28,3891.8,0.2,427.5,64435.0,13213.0,28035.0,9635.0,24000.0,23293.0,7421.0,30880.0,17521.0,22653.0,260428.0
2016-09-04,3102.9,7.5,333.5,62741.0,10017.0,25860.0,7893.0,19744.0,20177.0,7797.0,26900.0,13935.0,19618.0,234786.0
2016-09-11,3186.5,8.600000000000001,331.0,68130.0,12319.0,28112.0,9751.0,23364.0,23335.0,7761.0,31082.0,17349.0,22720.0,264103.0
2016-09-18,3424.8,8.1,403.1,61729.0,9912.0,25140.0,7110.0,19701.0,18633.0,7045.0,26306.0,12597.0,18349.0,225948.0
2016-09-25,2559.8,7.1,310.3,60390.0,9758.0,24075.0,7468.0,18302.0,20945.0,7231.0,25528.0,13279.0,20142.0,226194.0
2016-10-02,2588.4,1.4000000000000001,418.4,53651.0,7154.0,19646.0,4746.0,13488.0,14095.0,6803.0,20047.0,9083.0,13953.0,180862.0
2016-10-09,1557.8,36.7,318.3,43023.0,5672.0,15421.0,3698.0,9684.0,10689.0,5264.0,15271.0,6145.0,10534.0,139489.0
2016-10-16,1496.3,5.9,386.1,40564.0,5467.0,15194.0,3595.0,9915.0,10962.0,4679.0,15586.0,6639.0,10298.0,136727.0
2016-10-23,1427.3,12.5,365.1,35028.0,4003.0,10587.0,2119.0,6251.0,7049.0,4120.0,10995.0,3902.0,6785.0,102541.0
2016-10-30,1646.1,16.5,305.7,46372.0,6075.0,15710.0,3020.0,8320.0,10075.0,5544.0,14269.0,5152.0,10258.0,140052.0
2016-11-06,1224.0,14.2,385.8,40755.0,5194.0,13281.0,2786.0,7567.0,9146.0,4611.0,12398.0,4700.0,9142.0,122774.0
2016-11-13,496.3,11.2,456.3,32610.0,3647.0,10036.0,1330.0,4120.0,5035.0,4033.0,8656.0,2249.0,5254.0,88479.0
2016-11-20,1226.7,20.7,695.0,33248.0,3525.0,9742.0,1407.0,4368.0,5141.0,3988.0,8361.0,2523.0,5278.0,89072.0
2016-11-27,1433.2,1.0,448.3,43104.0,4558.0,13135.0,1962.0,6037.0,7243.0,5153.0,11487.0,3457.0,7377.0,118210.0
